reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_phyQ_m,phyQ,2.2812879436533333e-05,phylloquinone,HMDB03555,C02059,5280483.0,,,EX_phyQ_m,EX_phyQ(e)
EX_ca2_m,ca2,3.0915132158956666,calcium(2+),HMDB00464,C00076,,InChI=1S/Ca/q+2,,EX_ca2_m,EX_ca2(e)
EX_cl_m,cl,62.592916443366335,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
EX_k_m,k,2.7811268861647,potassium,HMDB00586,C00238,813.0,InChI=1S/K/q+1,,EX_k_m,EX_k(e)
EX_mg2_m,mg2,2.4216553521223334,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
EX_na1_m,na1,5.748209057276799,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
EX_pi_m,pi,0.47422030930975007,hydrogenphosphate,HMDB00973,C00009,1004.0,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,EX_pi_m,EX_pi(e)
EX_cu2_m,cu2,0.0059458240224929,Cu2+,,,,,,EX_cu2_m,EX_cu2(e)
EX_fe2_m,fe2,0.0036416271226907665,Fe2+,HMDB00692,C14818,27284.0,InChI=1S/Fe/q+2,,EX_fe2_m,EX_fe2(e)
EX_fe3_m,fe3,0.0036416271226907665,Fe3+,HMDB12943,C14819,29936.0,InChI=1S/Fe/q+3,,EX_fe3_m,EX_fe3(e)
EX_mn2_m,mn2,0.012450388433006667,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
EX_zn2_m,zn2,0.0251605995717345,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
EX_mnl_m,mnl,0.028361506372921997,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
EX_xylt_m,xylt,0.004732302830574366,xylitol,HMDB02917,C00379,6912.0,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+",,EX_xylt_m,EX_xylt(e)
EX_lcts_m,lcts,0.13755715683138267,Lactose,HMDB00186,C00243,440995.0,,,EX_lcts_m,EX_lcts(e)
EX_malt_m,malt,0.28045860825337104,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
EX_sucr_m,sucr,6.746100724566767,Sucrose,HMDB00258,C00089,5988.0,,,EX_sucr_m,EX_sucr(e)
EX_fru_m,fru,3.5501955065955,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
EX_gal_m,gal,0.0009991346383881833,D-Galactose,HMDB00143,C00984,439357.0,,,EX_gal_m,EX_gal(e)
EX_cellul_m,cellul,0.016666666666666666,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587",,,,,,EX_cellul_m,EX_cellul(e)
EX_ala_L_m,ala_L,1.2402854538842467,L-alanine,HMDB00161,C00041,5950.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,EX_ala_L_m,EX_ala_L(e)
EX_arg_L_m,arg_L,0.67839590340445,L-argininium(1+),HMDB00517,C00062,6322.0,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1",,EX_arg_L_m,EX_arg_L(e)
EX_asp_L_m,asp_L,1.5695583042569698,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
EX_cys_L_m,cys_L,0.2503943879434767,L-cysteine,HMDB00574,C00097,5862.0,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",,EX_cys_L_m,EX_cys_L(e)
EX_glu_L_m,glu_L,3.4374066842639333,L-glutamate(1-),HMDB00148,C00025,33032.0,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",,EX_glu_L_m,EX_glu_L(e)
EX_gly_m,gly,1.2254895430635369,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
EX_urate_m,urate,0.09731309344717935,Urate,HMDB00289,C00366,1175.0,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",,EX_urate_m,EX_urate(e)
EX_his_L_m,his_L,0.46746922102213007,L-histidine,HMDB00177,C00135,6274.0,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",,EX_his_L_m,EX_his_L(e)
EX_ile_L_m,ile_L,0.9640558377530734,L-isoleucine,HMDB00172,C00407,6306.0,"InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1",,EX_ile_L_m,EX_ile_L(e)
EX_leu_L_m,leu_L,1.5629269968619033,L-leucine,HMDB00687,C00123,6106.0,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",,EX_leu_L_m,EX_leu_L(e)
EX_lys_L_m,lys_L,1.11038494156864,L-lysinium(1+),HMDB00182,C00047,5962.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",,EX_lys_L_m,EX_lys_L(e)
EX_met_L_m,met_L,0.35758015646268,L-methionine,HMDB00696,C00073,6137.0,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",,EX_met_L_m,EX_met_L(e)
EX_phe_L_m,phe_L,0.6904995547527033,L-phenylalanine,HMDB00159,C00079,6140.0,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",,EX_phe_L_m,EX_phe_L(e)
EX_pro_L_m,pro_L,1.7938426394395934,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
EX_ser_L_m,ser_L,1.2459741853057833,L-serine,HMDB00187,C00065,5951.0,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",,EX_ser_L_m,EX_ser_L(e)
EX_thr_L_m,thr_L,0.8627016747370134,L-threonine,HMDB00167,C00188,6288.0,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",,EX_thr_L_m,EX_thr_L(e)
EX_trp_L_m,trp_L,0.15182749239564933,L-tryptophan,HMDB00929,C00078,6305.0,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",,EX_trp_L_m,EX_trp_L(e)
EX_tyr_L_m,tyr_L,0.52156179890004,L-tyrosine,HMDB00158,C00082,6057.0,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,EX_tyr_L_m,EX_tyr_L(e)
EX_val_L_m,val_L,1.2594792437604367,L-valine,HMDB00883,C00183,6287.0,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",,EX_val_L_m,EX_val_L(e)
EX_ddca_m,ddca,0.44863490572632675,laurate,HMDB00638,C02679,3893.0,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",,EX_ddca_m,EX_ddca(e)
EX_ttdca_m,ttdca,1.0070460013282734,tetradecanoate (n-C14:0),HMDB00806,C06424,11005.0,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",,EX_ttdca_m,EX_ttdca(e)
EX_ttdcea_m,ttdcea,0.12613282650039268,tetradecenoate (n-C14:1),HMDB02000,C08322,68344.0,"InChI=1/C14H26O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h5-6H,2-4,7-13H2,1H3,(H,15,16)/b6-5-",,EX_ttdcea_m,EX_ttdcea(e)
EX_hdca_m,hdca,3.092835573012037,Hexadecanoate (n-C16:0),HMDB00220,C00249,985.0,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1",,EX_hdca_m,EX_hdca(e)
EX_ocdca_m,ocdca,1.1950288796705666,octadecanoate (n-C18:0),HMDB00827,C01530,3033836.0,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",,EX_ocdca_m,EX_ocdca(e)
EX_ocdcea_m,ocdcea,3.3864244193414,octadecenoate (n-C18:1),HMDB00207,C00712,5460221.0,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9-",,EX_ocdcea_m,EX_ocdcea(e)
EX_arach_m,arach,0.03443517990942333,arachidate,HMDB02212,C06425,10467.0,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)/p-1",,EX_arach_m,EX_arach(e)
EX_but_m,but,0.8778085479977168,butyrate,HMDB00039,C00246,264.0,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/p-1",,EX_but_m,EX_but(e)
EX_octa_m,octa,0.22818576361611267,octanoate (n-C8:0),HMDB00482,C06423,379.0,"InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)/p-1",,EX_octa_m,EX_octa(e)
EX_chsterol_m,chsterol,0.041072950328912,cholesterol,HMDB00067,C00187,5997.0,,,EX_chsterol_m,EX_chsterol(e)
EX_sbt_D_m,sbt_D,0.0010978647628227833,D-glucitol,HMDB00247,C00794,5780.0,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",,EX_sbt_D_m,EX_sbt_D(e)
EX_glc_D_m,glc_D,4.519345004336066,D-glucose,HMDB00122,C00031,5793.0,,,EX_glc_D_m,EX_glc_D(e)
EX_fol_m,fol,4.48712635822e-06,Folate,HMDB00121,C00504,6037.0,,,EX_fol_m,EX_fol(e)
EX_hdcea_m,hdcea,0.23734910074429003,Hexadecenoate (n-C16:1),HMDB03229,C08362,445638.0,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/p-1/b8-7-",,EX_hdcea_m,EX_hdcea(e)
EX_strch1_m,strch1,7.216,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_strch1_m,EX_strch1(e)
EX_starch1200_m,starch1200,0.05097829502461467,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)",,,,,,EX_starch1200_m,EX_starch1200(e)
EX_core2_m,core2,0.16666666666666666,Core 2,,,,,,EX_core2_m,EX_core2(e)
EX_core2_rl_m,core2_rl,0.16666666666666666,released Core 2,,,,,,EX_core2_rl_m,EX_core2_rl(e)
EX_core3_m,core3,0.16666666666666666,Core 3,,,,,,EX_core3_m,EX_core3(e)
EX_core6_m,core6,0.16666666666666666,Core 6,,,,,,EX_core6_m,EX_core6(e)
EX_core8_m,core8,0.16666666666666666,Core 8,,,,,,EX_core8_m,EX_core8(e)
EX_core4_m,core4,0.16666666666666666,Core 4,,,,,,EX_core4_m,EX_core4(e)
EX_core4_rl_m,core4_rl,0.16666666666666666,released Core 4,,,,,,EX_core4_rl_m,EX_core4_rl(e)
EX_core5_m,core5,0.16666666666666666,Core 5,,,,,,EX_core5_m,EX_core5(e)
EX_gncore1_m,gncore1,0.16666666666666666,"GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_m,EX_gncore1(e)
EX_gncore1_rl_m,gncore1_rl,0.16666666666666666,"released GlcNAc-alpha-1,4-Core 1",,,,,,EX_gncore1_rl_m,EX_gncore1_rl(e)
EX_gncore2_m,gncore2,0.16666666666666666,"GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_m,EX_gncore2(e)
EX_gncore2_rl_m,gncore2_rl,0.16666666666666666,"released GlcNAc-alpha-1,4-Core 2",,,,,,EX_gncore2_rl_m,EX_gncore2_rl(e)
EX_core7_m,core7,0.16666666666666666,Core 7,,,,,,EX_core7_m,EX_core7(e)
EX_gchola_m,gchola,0.16666666666666666,glycocholate,HMDB00138,C01921,10140.0,,,EX_gchola_m,EX_gchola(e)
EX_tchola_m,tchola,0.16666666666666666,taurocholate,HMDB00036,,440567.0,,,EX_tchola_m,EX_tchola(e)
EX_o2_m,o2,0.00016666666666666666,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
EX_cobalt2_m,cobalt2,0.00016686666666666667,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
EX_so4_m,so4,0.00016686666666666667,sulfate,HMDB01448,C00059,1118.0,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_so4_m,EX_so4(e)
EX_4abz_m,4abz,0.00019849250000000002,4-Aminobenzoate,,,,,,EX_4abz_m,EX_4abz(e)
EX_asn_L_m,asn_L,0.010981607195735966,L-asparagine,HMDB00168,C00152,6267.0,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,EX_asn_L_m,EX_asn_L(e)
EX_cgly_m,cgly,0.0006861583333333166,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
EX_mqn7_m,mqn7,0.00013232833333333332,Menaquinone 7,,C00828,4086.0,,,EX_mqn7_m,EX_mqn7(e)
EX_nmn_m,nmn,0.0050810337069750995,NMN,HMDB00229,C00455,14180.0,,,EX_nmn_m,EX_nmn(e)
EX_pheme_m,pheme,6.616416666666666e-05,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
EX_spmd_m,spmd,6.616416666666666e-05,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
EX_26dap_M_m,26dap_M,0.0007706333333333333,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
EX_2dmmq8_m,2dmmq8,0.00013232833333333332,2-Demethylmenaquinone 8,,,,,,EX_2dmmq8_m,EX_2dmmq8(e)
EX_gthrd_m,gthrd,6.616416666666666e-05,Reduced glutathione,HMDB00125,C00051,124886.0,,,EX_gthrd_m,EX_gthrd(e)
EX_hxan_m,hxan,0.00388674583333345,Hypoxanthine,HMDB00157,C00262,790.0,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",,EX_hxan_m,EX_hxan(e)
EX_q8_m,q8,6.616416666666666e-05,Ubiquinone-8,,,,,,EX_q8_m,EX_q8(e)
EX_sheme_m,sheme,6.616416666666666e-05,Siroheme,,,,,,EX_sheme_m,EX_sheme(e)
EX_thymd_m,thymd,0.00018301666666664998,Thymidine,HMDB00273,C00214,5789.0,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",,EX_thymd_m,EX_thymd(e)
EX_mqn8_m,mqn8,0.00013232833333331668,Menaquinone 8,,C00828,4086.0,,,EX_mqn8_m,EX_mqn8(e)
EX_csn_m,csn,0.0021137,cytosine,HMDB00630,C00380,597.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,EX_csn_m,EX_csn(e)
EX_adn_m,adn,0.0018407833333333667,Adenosine,HMDB00050,C00212,60961.0,,,EX_adn_m,EX_adn(e)
EX_gthox_m,gthox,1.2902083333333335e-05,Oxidized glutathione,HMDB03337,C00127,65359.0,,,EX_gthox_m,EX_gthox(e)
EX_h2s_m,h2s,0.0036641616666666667,Hydrogen sulfide,,,,,,EX_h2s_m,EX_h2s(e)
EX_4hbz_m,4hbz,6.616416666666666e-05,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
EX_12dgr180_m,12dgr180,0.00035493333333333336,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
EX_xyl_D_m,xyl_D,0.00988365416666685,aldehydo-D-xylose,,,644160.0,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",,EX_xyl_D_m,EX_xyl_D(e)
EX_cspg_b_m,cspg_b,2.1692777777766666e-05,chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan,,,,,,EX_cspg_b_m,EX_cspg_b(e)
EX_hspg_m,hspg,9.520104166666666e-05,heparan sulfate proteoglycan,,,,,,EX_hspg_m,EX_hspg(e)
EX_2obut_m,2obut,0.00272486666666665,2-Oxobutanoate,HMDB00005,C00109,58.0,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_2obut_m,EX_2obut(e)
EX_dad_2_m,dad_2,0.00122406666666675,2-deoxyadenosine,HMDB00101,C00559,13730.0,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",,EX_dad_2_m,EX_dad_2(e)
EX_dcyt_m,dcyt,0.0017248250000000001,Deoxycytidine,HMDB00014,C00881,13711.0,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",,EX_dcyt_m,EX_dcyt(e)
EX_gua_m,gua,0.00137355416666665,Guanine,HMDB00132,C00242,764.0,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",,EX_gua_m,EX_gua(e)
EX_arabttr_m,arabttr,0.00335954888888885,Arabinotriose,,,,,,EX_arabttr_m,EX_arabttr(e)
EX_ura_m,ura,0.008029083333333317,uracil,HMDB00300,C00106,1174.0,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,EX_ura_m,EX_ura(e)
EX_arab_D_m,arab_D,0.0007272,D-Arabinose,,,,,,EX_arab_D_m,EX_arab_D(e)
EX_rib_D_m,rib_D,0.006713913333333384,D-ribose,HMDB00283,C00121,5779.0,,,EX_rib_D_m,EX_rib_D(e)
EX_3mop_m,3mop,0.002724866666666667,3-methyl-2-oxopentanoate,HMDB00491,C03465,47.0,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",,EX_3mop_m,EX_3mop(e)
EX_h_m,h,0.621248923438226,proton,HMDB01362,C00282,1038.0,InChI=1S/p+1/i/hH,,EX_h_m,EX_h(e)
EX_orn_m,orn,2.580416666666667e-05,Ornithine,HMDB00214,C00077,6262.0,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/p+1",,EX_orn_m,EX_orn(e)
EX_no3_m,no3,0.00524998615798045,Nitrate,,,,,,EX_no3_m,EX_no3(e)
EX_cit_m,cit,7.74125e-05,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
EX_acgam_m,acgam,0.0008337,N-acetyl-D-glucosamine,HMDB00215,C00140,439174.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",,EX_acgam_m,EX_acgam(e)
EX_rbflvrd_m,rbflvrd,7.048862402410015e-06,Reduced riboflavin,,,,,,EX_rbflvrd_m,EX_rbflvrd(e)
EX_gln_L_m,gln_L,0.00571031,L-glutamine,HMDB00641,C00064,5961.0,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,EX_gln_L_m,EX_gln_L(e)
EX_ptrc_m,ptrc,5.160833333333334e-05,Putrescine,HMDB01414,C00134,1045.0,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2,,EX_ptrc_m,EX_ptrc(e)
EX_for_m,for,0.007460241666666967,Formate,HMDB00142,C00058,284.0,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,EX_for_m,EX_for(e)
EX_ade_m,ade,0.003688223862402483,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
EX_dgsn_m,dgsn,0.0013909458333333333,Deoxyguanosine,HMDB00085,C00330,187790.0,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",,EX_dgsn_m,EX_dgsn(e)
EX_ala_D_m,ala_D,0.0015412666666666667,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
EX_chor_m,chor,4.8262499999999994e-05,chorismate,,,,,,EX_chor_m,EX_chor(e)
EX_co2_m,co2,0.00481802537364095,carbon dioxide,HMDB01967,C00011,280.0,InChI=1S/CO2/c2-1-3,,EX_co2_m,EX_co2(e)
EX_acmana_m,acmana,0.0008337,N-acetyl-D-mannosamine,HMDB01129,C00645,439281.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6-,7-,8-/m0/s1",,EX_acmana_m,EX_acmana(e)
EX_MGlcn67_m,MGlcn67,0.0007706333333333333,mucin-type O-glycan No 67,,,,,,EX_MGlcn67_m,EX_MGlcn67(e)
